timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1632850497092,1672,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,149385,119,2,2,https://closing.com.br/,,1374,UTF-8,1,0,DESKTOP-E4D41LG,0,351
1632850496670,2117,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,149493,119,2,2,https://closing.com.br/,,1815,UTF-8,1,0,DESKTOP-E4D41LG,0,771
1632850498788,782,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,150141,119,2,2,https://closing.com.br/,,566,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850498767,806,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,148211,119,2,2,https://closing.com.br/,,590,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850499570,803,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,149465,119,2,2,https://closing.com.br/,,595,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850499574,820,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,149031,119,2,2,https://closing.com.br/,,615,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850500373,795,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,149228,119,2,2,https://closing.com.br/,,637,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850500393,819,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,149627,119,2,2,https://closing.com.br/,,542,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850501168,740,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,149732,119,2,2,https://closing.com.br/,,558,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850501213,782,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,150374,119,2,2,https://closing.com.br/,,578,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850501909,743,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,150264,119,2,2,https://closing.com.br/,,550,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850501995,731,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,149664,119,2,2,https://closing.com.br/,,545,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850502652,745,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,149266,119,2,2,https://closing.com.br/,,530,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850502726,745,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,149020,119,2,2,https://closing.com.br/,,546,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850503471,740,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,149106,119,2,2,https://closing.com.br/,,542,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850503398,814,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,149156,119,2,2,https://closing.com.br/,,557,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850504211,776,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,149777,119,2,2,https://closing.com.br/,,589,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850504212,838,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,148601,119,2,2,https://closing.com.br/,,583,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850504988,746,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,148771,119,2,2,https://closing.com.br/,,548,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850505050,773,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,149173,119,2,2,https://closing.com.br/,,534,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850505823,755,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,149757,119,2,2,https://closing.com.br/,,553,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850505734,897,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,149476,119,2,2,https://closing.com.br/,,680,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850506631,759,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,150230,119,2,2,https://closing.com.br/,,594,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850506578,855,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,149800,119,2,2,https://closing.com.br/,,603,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850507391,764,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,149521,119,2,2,https://closing.com.br/,,566,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850507433,738,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,149170,119,2,2,https://closing.com.br/,,542,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850508155,779,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,148938,119,2,2,https://closing.com.br/,,575,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850508172,774,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,149737,119,2,2,https://closing.com.br/,,562,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850508947,758,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,149034,119,2,2,https://closing.com.br/,,555,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850508935,808,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,149265,119,2,2,https://closing.com.br/,,597,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850509705,760,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,148670,119,2,2,https://closing.com.br/,,569,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850509744,747,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,149045,119,2,2,https://closing.com.br/,,546,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850510466,760,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,149401,119,2,2,https://closing.com.br/,,598,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850510493,768,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,148334,119,2,2,https://closing.com.br/,,602,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850511226,774,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,149234,119,2,2,https://closing.com.br/,,549,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850511262,811,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,149279,119,2,2,https://closing.com.br/,,577,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850512001,791,Consulta Closing,200,OK,Grupo de Usuários 1-1,text,TRUE,,148655,119,2,2,https://closing.com.br/,,568,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850512073,766,Consulta Closing,200,OK,Grupo de Usuários 1-2,text,TRUE,,149627,119,2,2,https://closing.com.br/,,565,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850512792,787,Consulta dois,200,OK,Grupo de Usuários 1-1,text,TRUE,,149318,119,2,2,https://closing.com.br/,,643,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1632850512840,789,Consulta dois,200,OK,Grupo de Usuários 1-2,text,TRUE,,149677,119,2,2,https://closing.com.br/,,580,UTF-8,1,0,DESKTOP-E4D41LG,0,0
