timeStamp,responseTime,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1636689308770,1525, User Group 1,200,OK,User Group 1-1,text,true,,149849,119,3,3,https://closing.com.br/,,1126,UTF-8,1,0,DESKTOP-E4D41LG,0,409
1636689309097,1465, User Group 1,200,OK,User Group 1-2,text,true,,149757,119,3,3,https://closing.com.br/,,1072,UTF-8,1,0,DESKTOP-E4D41LG,0,403
1636689309430,1530, User Group 1,200,OK,User Group 1-3,text,true,,148737,119,3,3,https://closing.com.br/,,1149,UTF-8,1,0,DESKTOP-E4D41LG,0,397
1636689310295,941, User Group 2,200,OK,User Group 1-1,text,true,,148905,119,3,3,https://closing.com.br/,,703,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1636689310561,844, User Group 2,200,OK,User Group 1-2,text,true,,149158,119,3,3,https://closing.com.br/,,564,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1636689310960,811, User Group 2,200,OK,User Group 1-3,text,true,,148111,119,3,3,https://closing.com.br/,,568,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1636689311236,781, User Group 3,200,OK,User Group 1-1,text,true,,149212,119,3,3,https://closing.com.br/,,563,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1636689311405,755, User Group 3,200,OK,User Group 1-2,text,true,,148528,119,3,3,https://closing.com.br/,,573,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1636689311771,894, User Group 3,200,OK,User Group 1-3,text,true,,150658,119,3,3,https://closing.com.br/,,597,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1636689312017,784, User Group 1,200,OK,User Group 1-1,text,true,,148683,119,3,3,https://closing.com.br/,,575,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1636689312161,777, User Group 1,200,OK,User Group 1-2,text,true,,149055,119,3,3,https://closing.com.br/,,574,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1636689312665,756, User Group 1,200,OK,User Group 1-3,text,true,,149874,119,3,3,https://closing.com.br/,,563,UTF-8,1,0,DESKTOP-E4D41LG,0,0
1636689312802,762, User Group 2,200,OK,User Group 1-1,text,true,,150029,119,3,3,https://closing.com.br/,,565,UTF-8,1,0,DESKTOP-E4D41LG,0,0
